Country;Year;Number of visits : Total;;;;;
Austria;2014;17.287.605;;;;;
Belarus;2009;4.586.306;;;;;
Belgium;2004;3.706.139;;;;;
Bulgaria;2015;4.763.472;;;;;
Croatia;2014;4.771.230;;;;;
Czech Republic;2016;13.071.769;;;;;
Denmark;2015;16.185.412;;;;;
Estonia;2014;3.837.000;;;;;
Finland;2015;5.605.374;;;;;
France;2010;4.869.035;;;;;
Germany;2015;114.423.192;;;;;
Greece;2007;4.755.535;;;;;
Hungary;2013;9.133.600;;;;;
Ireland;2014;6.108.480;;;;;
Italy;2013;38.190.401;;;;;
Latvia;2015;3.259.783;;;;;
Lithuania;2016;3.981.126;;;;;
Luxembourg;2012;516.000;;;;;
Macedonia;2009;957.182;;;;;
Norway;2013;10.944.898;;;;;
Poland;2015;33.271.294;;;;;
Portugal;2014;11.749.732;;;;;
Romania;2007;3.633.443;;;;;
Slovak Republic;2003;3.886.928;;;;;
Slovenia;2013;3.558.551;;;;;
Spain;2014;58.418.342;;;;;
Sweden;2015;15.066.851;;;;;
Switzerland;2014;20.799.800;;;;;
The Netherlands;2015;33.109.967;;;;;
United Kingdom;2012;87.624.176;;;;;
