Ajdovšèina,1,1,1,1,1,1,1,1
Bistrica ob Sotli,-,-,1,-,-,-,-,-
Bled,1,1,1,-,1,1,2,2
Brežice,4,4,4,4,4,3,3,3
Celje,4,4,4,3,4,3,2,3
Cerknica,2,2,2,1,2,1,1,-
Èrna na Koroškem,1,1,1,1,1,1,1,1
Èrnomelj,5,5,5,5,5,3,3,4
Dolenjske Toplice,2,2,2,2,2,2,2,3
Domžale,2,2,2,2,2,2,2,3
Dravograd,-,-,1,1,1,1,1,1
Gorenja vas - Poljane,2,2,2,2,2,1,1,2
Gorišnica,1,1,1,1,1,1,1,1
Gornja Radgona,1,1,1,1,1,1,1,1
Gornji Grad,1,1,1,1,1,1,1,1
Hrastnik,-,-,-,1,1,1,1,1
Idrija,2,2,2,2,2,2,2,3
Ivanèna Gorica,2,2,2,1,1,2,2,3
Izola/Isola,2,2,2,1,2,2,2,2
Jesenice,2,2,2,2,2,2,2,1
Kamnik,2,2,3,3,3,1,1,1
Kanal,-,-,-,-,-,1,1,1
Kobarid,1,1,1,1,1,1,1,2
Koèevje,1,1,1,1,1,1,1,1
Komen,-,-,1,-,1,1,1,-
Koper/Capodistria,2,2,4,4,3,4,4,3
Kostanjevica na Krki,-,-,-,1,-,-,-,-
Kozje,-,-,-,1,1,1,1,1
Kranj,2,2,2,3,3,3,4,1
Krško,2,2,2,1,1,1,1,-
Laško,-,-,-,1,1,1,1,1
Lenart,-,-,1,1,-,-,1,-
Lendava/Lendva,1,2,3,1,3,2,3,-
Litija,1,1,1,-,1,1,1,1
Ljubljana,44,44,45,44,44,46,41,49
Ljutomer,3,3,2,2,4,4,4,4
Logatec,1,1,1,1,1,1,1,-
Maribor,12,11,14,12,11,12,11,11
Medvode,-,-,1,1,-,1,1,1
Mengeš,1,1,2,-,1,1,-,-
Metlika,2,2,2,1,2,2,2,3
Mežica,1,1,1,1,1,1,1,-
Moravske Toplice,2,2,1,2,2,1,-,-
Mozirje,-,-,-,-,-,-,-,1
Murska Sobota,4,4,4,4,5,3,2,3
Nazarje,1,1,1,1,1,1,1,1
Nova Gorica,2,2,3,3,3,3,1,1
Novo mesto,3,3,3,2,2,3,3,3
Piran/Pirano,2,2,2,2,3,3,3,2
Postojna,1,1,1,1,1,1,2,2
Prevalje,1,1,1,1,1,1,1,1
Ptuj,3,3,4,3,3,2,2,2
Radenci,1,1,-,-,1,-,-,-
Radovljica,1,1,2,2,3,3,3,4
Razkrižje,1,1,-,-,-,-,-,-
Ribnica,1,1,1,1,1,1,1,-
Ribnica na Pohorju,1,1,-,1,1,-,-,-
Rogatec,1,1,1,-,1,-,-,-
Sevnica,1,1,1,-,1,1,1,-
Sežana,1,1,2,2,2,1,2,1
Slovenj Gradec,2,2,2,2,2,2,2,2
Slovenska Bistrica,1,1,1,1,1,1,1,1
Slovenske Konjice,1,1,1,1,1,1,1,1
Solèava,1,1,1,1,1,1,1,1
Sveti Jurij ob Šèavnici,-,-,-,-,1,1,1,-
Šentjernej,-,-,-,1,1,1,1,2
Šentjur,2,2,2,2,2,2,2,3
Škofja Loka,2,2,2,2,2,2,1,1
Šmarješke Toplice,-,-,-,1,1,1,1,1
Šmartno pri Litiji,1,1,1,1,1,1,1,1
Šoštanj,1,1,1,1,1,1,-,1
Tolmin,2,2,2,2,2,2,2,2
Trbovlje,1,1,1,1,1,1,1,1
Trebnje,1,1,1,1,1,1,1,1
Tržiè,1,1,1,1,1,1,1,1
Velenje,2,2,3,2,4,4,4,5
Velika Polana,1,1,1,-,1,-,-,-
Velike Lašèe,1,1,1,1,1,1,1,1
Vrhnika,1,1,2,1,1,1,-,-
Vuzenica,1,1,1,1,1,1,1,1
Zagorje ob Savi,1,1,1,1,1,1,1,1
Žalec,1,1,1,2,1,1,1,1
Žiri,1,1,1,1,1,-,2,1
Žirovnica,-,-,-,-,-,1,1,-
